Village_ID,Village_Name,District,State,Year,MGNREGA_Workers,Skill_Dev_Participants,Avg_Daily_Wage_INR,Unemployment_Rate_Pct
10001,Varanasi_Village_1,Varanasi,Uttar Pradesh,2022,152,30,216,6.1
10001,Varanasi_Village_1,Varanasi,Uttar Pradesh,2023,229,37,354,13.7
10001,Varanasi_Village_1,Varanasi,Uttar Pradesh,2024,142,17,251,11.8
10001,Varanasi_Village_1,Varanasi,Uttar Pradesh,2025,64,29,334,3.4
10002,Varanasi_Village_2,Varanasi,Uttar Pradesh,2022,156,8,277,12.2
10002,Varanasi_Village_2,Varanasi,Uttar Pradesh,2023,121,23,354,11.8
10002,Varanasi_Village_2,Varanasi,Uttar Pradesh,2024,238,22,343,8.9
10002,Varanasi_Village_2,Varanasi,Uttar Pradesh,2025,70,34,312,3.8
10003,Varanasi_Village_3,Varanasi,Uttar Pradesh,2022,152,23,309,10.6
10003,Varanasi_Village_3,Varanasi,Uttar Pradesh,2023,171,27,339,12.1
10003,Varanasi_Village_3,Varanasi,Uttar Pradesh,2024,260,20,370,6.5
10003,Varanasi_Village_3,Varanasi,Uttar Pradesh,2025,264,5,301,10.3
10004,Varanasi_Village_4,Varanasi,Uttar Pradesh,2022,124,16,254,8.2
10004,Varanasi_Village_4,Varanasi,Uttar Pradesh,2023,252,28,296,10.1
10004,Varanasi_Village_4,Varanasi,Uttar Pradesh,2024,137,38,336,7.7
10004,Varanasi_Village_4,Varanasi,Uttar Pradesh,2025,166,12,346,6.5
10005,Varanasi_Village_5,Varanasi,Uttar Pradesh,2022,149,22,346,13.5
10005,Varanasi_Village_5,Varanasi,Uttar Pradesh,2023,153,9,325,12.0
10005,Varanasi_Village_5,Varanasi,Uttar Pradesh,2024,201,30,336,7.3
10005,Varanasi_Village_5,Varanasi,Uttar Pradesh,2025,180,34,346,7.9
10006,Varanasi_Village_6,Varanasi,Uttar Pradesh,2022,199,17,202,11.8
