Village_ID,Year,Irrigated_Area_Hectares,Crop_Yield_MT_per_Hec,Fertilizer_Usage_Tons,Tractor_Availability
10001,2022,538,4.36,31,12
10001,2023,400,3.31,36,10
10001,2024,359,4.12,72,4
10001,2025,291,3.93,36,9
10002,2022,370,2.36,30,3
10002,2023,715,3.41,62,8
10002,2024,531,4.47,44,2
10002,2025,795,3.44,56,5
10003,2022,316,3.27,59,13
10003,2023,190,3.24,19,13
10003,2024,297,2.65,37,6
10003,2025,498,3.88,46,2
10004,2022,138,3.03,50,7
10004,2023,570,2.35,70,11
10004,2024,178,4.49,60,11
10004,2025,193,4.8,17,5
10005,2022,783,1.67,67,10
10005,2023,142,3.52,70,13
10005,2024,231,3.05,42,4
10005,2025,176,3.53,28,4
10006,2022,331,2.62,39,2
10006,2023,138,3.07,87,12
10006,2024,665,2.77,23,9
10006,2025,250,2.3,45,1
10007,2022,799,2.41,16,1
10007,2023,518,3.66,43,4
10007,2024,285,1.95,59,3
10007,2025,417,3.1,41,9
10008,2022,563,1.63,51,13
10008,2023,531,2.72,42,7
10008,2024,234,2.06,23,11
10008,2025,602,2.97,98,2
10009,2022,784,4.01,37,4
10009,2023,368,3.49,48,5
10009,2024,536,3.85,40,10
10009,2025,726,3.46,33,12
10010,2022,597,4.27,13,14
10010,2023,650,3.27,87,4
10010,2024,439,2.11,18,13
10010,2025,341,4.75,79,14
10011,2022,320,1.9,33,4
10011,2023,757,4.65,99,4
10011,2024,775,3.11,74,8
10011,2025,460,2.17,96,7
10012,2022,289,4.09,26,4
10012,2023,512,1.93,46,11
10012,2024,428,2.32,59,1
10012,2025,321,3.2,54,6
10013,2022,785,3.53,29,5
10013,2023,191,2.01,68,11
10013,2024,539,3.67,68,5
10013,2025,205,4.29,99,11
10014,2022,344,1.87,20,12
10014,2023,404,3.59,64,6
10014,2024,654,4.68,93,12
10014,2025,697,4.85,74,8
10015,2022,196,1.98,86,6
10015,2023,576,3.93,67,14
10015,2024,365,4.34,53,6
10015,2025,674,4.62,86,7
10016,2022,202,2.47,23,11
10016,2023,353,2.46,85,8
10016,2024,554,1.94,61,4
10016,2025,612,3.15,43,7
10017,2022,765,1.87,72,8
10017,2023,592,4.01,36,6
10017,2024,360,2.23,21,9
10017,2025,134,4.41,47,13
10018,2022,480,1.82,65,6
10018,2023,496,3.09,74,4
10018,2024,126,2.95,99,14
10018,2025,405,3.75,49,6
10019,2022,798,3.06,30,2
10019,2023,770,3.45,41,11
10019,2024,680,1.8,98,8
10019,2025,264,2.33,21,14
10020,2022,357,3.05,98,11
10020,2023,201,2.34,35,6
10020,2024,554,2.03,45,4
10020,2025,292,2.6,25,7
10021,2022,398,3.84,87,8
10021,2023,120,3.28,43,3
10021,2024,144,2.37,33,10
10021,2025,579,2.0,81,3
10022,2022,595,2.57,48,10
10022,2023,782,2.72,73,3
10022,2024,789,4.01,86,3
10022,2025,322,4.71,38,2
10023,2022,398,2.62,40,5
10023,2023,580,3.71,72,6
10023,2024,123,3.7,52,1
10023,2025,437,3.22,28,6
10024,2022,183,1.7,19,7
10024,2023,159,3.07,65,2
10024,2024,387,2.86,69,1
10024,2025,733,3.6,52,7
10025,2022,616,1.88,57,6
10025,2023,253,3.82,49,14
10025,2024,380,4.16,43,3
10025,2025,533,3.12,10,13
10026,2022,441,2.03,28,2
10026,2023,185,3.52,10,13
10026,2024,686,4.67,97,2
10026,2025,290,4.05,34,14
10027,2022,351,1.87,77,12
10027,2023,167,2.84,97,2
10027,2024,245,4.55,93,8
10027,2025,733,3.85,37,1
10028,2022,653,1.94,54,12
10028,2023,761,3.82,33,3
10028,2024,673,2.86,53,8
10028,2025,354,3.42,11,6
10029,2022,230,2.75,32,7
10029,2023,476,3.83,87,2
10029,2024,631,2.45,71,14
10029,2025,298,3.12,24,9
10030,2022,320,3.73,41,7
10030,2023,509,3.76,96,3
10030,2024,742,2.41,13,9
10030,2025,270,3.0,93,3
10031,2022,244,1.54,40,14
10031,2023,587,3.24,68,10
10031,2024,453,2.64,80,8
10031,2025,280,1.99,10,7
10032,2022,260,2.77,78,13
10032,2023,563,4.43,23,3
10032,2024,159,4.57,32,14
10032,2025,314,3.07,80,5
10033,2022,679,2.85,25,7
10033,2023,291,2.38,18,3
10033,2024,587,2.0,40,13
10033,2025,324,4.03,70,2
10034,2022,491,3.9,54,9
10034,2023,260,4.29,16,2
10034,2024,554,4.61,66,3
10034,2025,210,4.7,73,12
10035,2022,158,1.58,11,1
10035,2023,644,4.58,15,13
10035,2024,652,2.94,70,1
10035,2025,772,4.61,43,1
10036,2022,128,2.82,26,10
