Village_ID,Year,Primary_Schools,School_Dropout_Rate_Pct,Primary_Health_Centres,Clean_Water_Access_Pct
10001,2022,1,24.7,0,37.5
10001,2023,1,3.5,0,69.3
10001,2024,2,19.7,1,86.6
10001,2025,2,12.8,0,51.5
10002,2022,2,5.0,0,55.7
10002,2023,1,12.8,0,62.9
10002,2024,0,17.3,0,85.9
10002,2025,2,4.2,0,85.3
10003,2022,0,18.6,0,76.2
10003,2023,1,6.3,0,73.7
10003,2024,3,18.1,1,73.1
10003,2025,2,11.9,1,69.5
10004,2022,0,5.7,0,52.2
10004,2023,2,5.3,0,63.8
10004,2024,1,19.3,0,87.2
10004,2025,2,1.2,1,73.2
10005,2022,1,11.0,1,89.1
10005,2023,3,14.8,1,41.6
10005,2024,1,6.3,0,62.5
10005,2025,3,5.0,1,51.0
10006,2022,3,20.5,0,51.9
10006,2023,3,9.3,0,80.4
10006,2024,0,2.8,1,85.5
10006,2025,1,14.9,1,40.9
10007,2022,3,24.1,1,87.2
10007,2023,1,20.1,0,85.3
10007,2024,2,13.0,0,90.3
10007,2025,1,9.0,1,61.6
10008,2022,1,23.5,1,59.8
10008,2023,1,18.8,1,43.1
10008,2024,1,13.4,1,59.8
10008,2025,0,18.1,1,46.6
10009,2022,3,17.0,0,81.8
10009,2023,3,23.0,0,67.9
10009,2024,3,19.2,0,44.2
10009,2025,2,11.5,0,91.7
10010,2022,2,23.5,1,34.8
10010,2023,1,10.3,1,88.6
10010,2024,0,16.0,1,42.3
10010,2025,0,3.9,1,82.1
10011,2022,1,22.9,1,68.7
10011,2023,1,8.5,1,80.0
10011,2024,3,21.0,0,69.9
10011,2025,2,0.8,1,60.0
10012,2022,2,18.6,1,46.5
10012,2023,2,6.5,1,89.7
10012,2024,2,17.4,0,62.5
10012,2025,1,10.3,1,89.5
10013,2022,1,23.2,1,73.4
10013,2023,2,17.8,0,72.4
10013,2024,3,17.4,0,94.2
10013,2025,3,2.9,0,72.9
10014,2022,3,6.9,1,74.0
10014,2023,2,20.5,1,84.0
10014,2024,3,6.5,0,38.8
10014,2025,1,17.8,1,98.8
10015,2022,2,7.9,1,45.7
10015,2023,3,9.7,1,75.2
10015,2024,1,20.6,0,93.2
10015,2025,2,17.3,0,84.8
10016,2022,1,6.1,1,43.8
10016,2023,3,12.5,0,54.7
10016,2024,0,20.2,0,60.9
10016,2025,3,0.8,1,74.2
10017,2022,1,7.1,0,66.2
10017,2023,0,16.4,1,80.3
10017,2024,0,4.1,1,87.6
10017,2025,2,9.5,0,44.4
10018,2022,0,15.2,1,46.4
10018,2023,2,20.7,0,53.6
10018,2024,0,21.1,0,36.8
10018,2025,0,10.7,1,64.1
10019,2022,2,15.2,0,51.5
10019,2023,1,18.0,1,64.5
10019,2024,2,5.9,1,42.0
10019,2025,0,19.3,1,63.8
10020,2022,3,5.0,0,65.8
10020,2023,2,3.5,1,81.2
10020,2024,2,14.5,1,82.0
10020,2025,0,7.3,0,63.3
10021,2022,0,13.0,1,53.4
10021,2023,3,7.9,1,35.2
10021,2024,0,10.2,1,41.0
10021,2025,2,17.1,0,91.3
10022,2022,2,19.0,0,78.4
10022,2023,2,5.4,0,34.3
10022,2024,1,3.1,1,89.0
10022,2025,2,10.6,1,75.8
10023,2022,1,19.6,0,78.1
10023,2023,0,16.8,1,63.2
10023,2024,1,19.3,0,45.0
10023,2025,2,3.2,1,60.4
10024,2022,0,17.1,0,57.0
10024,2023,1,18.8,1,78.2
10024,2024,0,20.8,1,84.8
10024,2025,0,2.5,1,83.5
10025,2022,1,9.8,1,58.6
10025,2023,0,10.6,0,72.8
10025,2024,0,12.8,1,53.7
10025,2025,2,8.7,0,98.3
10026,2022,3,22.2,1,40.1
10026,2023,3,22.5,1,76.4
10026,2024,0,3.4,0,45.3
10026,2025,1,14.5,1,55.9
10027,2022,3,7.3,0,74.9
10027,2023,1,21.5,1,76.7
10027,2024,3,4.8,0,43.5
10027,2025,2,20.3,1,79.7
10028,2022,2,13.6,1,42.2
10028,2023,1,11.1,0,91.4
10028,2024,1,13.7,1,72.2
10028,2025,2,8.4,1,39.2
10029,2022,1,9.7,0,42.5
10029,2023,0,16.1,1,46.8
10029,2024,2,16.6,1,50.8
10029,2025,2,19.4,1,72.4
10030,2022,2,13.2,1,42.3
10030,2023,2,17.6,1,57.8
10030,2024,0,18.7,1,46.4
10030,2025,2,17.1,1,79.0
10031,2022,2,5.7,1,64.1
10031,2023,1,10.6,1,70.7
10031,2024,2,2.3,1,94.0
10031,2025,3,11.7,0,63.0
10032,2022,1,22.3,0,42.9
10032,2023,1,19.8,1,92.9
10032,2024,3,18.2,0,39.5
10032,2025,1,7.5,1,87.6
10033,2022,0,5.9,0,39.7
10033,2023,2,6.9,1,72.9
10033,2024,2,15.4,0,64.4
10033,2025,1,3.2,1,89.3
10034,2022,2,7.5,0,73.9
10034,2023,1,10.6,0,43.3
10034,2024,2,3.9,1,75.9
10034,2025,1,7.1,1,52.0
10035,2022,1,24.4,0,40.2
10035,2023,1,3.9,0,38.0
10035,2024,0,18.6,0,42.8
10035,2025,1,20.4,0,81.2
10036,2022,0,13.7,1,89.5
10036,2023,0,22.4,1,73.5
10036,2024,3,7.2,0,78.5
10036,2025,1,20.1,1,86.0
10037,2022,0,22.2,1,83.3
10037,2023,3,21.2,0,49.1
10037,2024,2,4.6,0,72.3
10037,2025,0,17.9,0,52.0
10038,2022,0,23.8,1,61.5
10038,2023,0,19.9,0,45.5
10038,2024,3,3.8,0,39.8
10038,2025,3,2.2,0,44.3
10039,2022,0,12.2,0,88.6
10039,2023,1,17.6,0,33.4
10039,2024,3,2.2,0,77.4
10039,2025,3,19.5,0,92.2
10040,2022,2,15.5,1,53.6
10040,2023,2,10.7,0,75.5
10040,2024,0,13.2,0,56.9
10040,2025,2,14.8,0,70.7
10041,2022,1,10.5,1,86.1
10041,2023,0,9.3,1,35.5
10041,2024,0,11.4,0,52.0
10041,2025,3,13.9,1,45.4
10042,2022,0,19.1,1,59.8
10042,2023,2,10.0,0,79.2
10042,2024,0,8.4,0,94.6
10042,2025,0,10.2,1,48.3
10043,2022,2,15.8,0,32.6
10043,2023,3,16.5,0,41.3
10043,2024,1,14.4,0,94.1
10043,2025,2,8.0,0,58.2
10044,2022,1,10.9,1,46.0
10044,2023,1,9.7,0,77.1
10044,2024,1,14.9,1,43.2
10044,2025,0,9.2,0,59.9
10045,2022,1,7.7,1,38.7
10045,2023,3,3.6,1,91.5
10045,2024,3,2.6,0,53.1
10045,2025,3,17.9,1,55.2
10046,2022,0,14.2,1,68.1
10046,2023,2,16.6,1,34.0
10046,2024,3,20.6,0,75.2
10046,2025,1,3.0,1,66.2
10047,2022,0,14.0,0,41.0
10047,2023,0,14.3,0,62.2
10047,2024,3,18.8,0,95.9
10047,2025,1,20.4,1,89.3
10048,2022,1,19.2,1,88.4
10048,2023,3,16.3,0,88.6
10048,2024,1,20.4,0,85.2
10048,2025,0,17.2,0,59.1
10049,2022,0,22.3,1,73.8
10049,2023,3,3.6,0,56.5
10049,2024,1,12.3,1,61.8
10049,2025,2,16.2,0,91.4
10050,2022,3,8.6,0,42.3
10050,2023,0,18.5,1,50.8
10050,2024,3,2.2,0,91.8
10050,2025,3,12.0,0,81.0
10051,2022,0,22.0,1,33.9
10051,2023,2,12.1,1,40.3
10051,2024,3,16.8,1,70.8
10051,2025,2,11.1,0,86.9
10052,2022,2,17.9,0,77.6
10052,2023,0,13.8,1,58.5
10052,2024,3,11.5,1,51.5
10052,2025,3,17.3,1,86.3
10053,2022,2,6.9,0,86.6
10053,2023,3,15.2,1,59.6
10053,2024,2,4.3,0,44.2
10053,2025,0,11.8,0,75.6
10054,2022,0,24.3,0,34.3
10054,2023,0,4.6,1,69.7
10054,2024,2,10.4,1,46.4
10054,2025,3,16.5,1,70.0
10055,2022,3,12.4,1,67.5
10055,2023,1,13.9,0,59.8
