Village_ID,Year,Electrification_Pct,Internet_Penetration_Pct,Paved_Roads_KM,Bank_Branches
10001,2022,76.5,46.3,5.8,0
10001,2023,63.0,37.9,11.4,1
10001,2024,100.0,39.4,18.9,1
10001,2025,92.7,41.8,4.5,2
10002,2022,55.8,59.4,16.0,1
10002,2023,65.4,27.5,18.5,0
10002,2024,100.0,29.3,8.7,0
10002,2025,67.1,51.5,10.0,2
10003,2022,55.6,35.9,17.0,1
10003,2023,63.7,24.9,12.2,0
10003,2024,89.3,39.5,10.6,1
10003,2025,82.4,42.6,6.9,0
10004,2022,53.2,47.1,11.7,0
10004,2023,69.9,40.4,8.8,1
10004,2024,59.2,60.9,10.5,0
10004,2025,71.5,32.6,17.3,0
10005,2022,58.2,25.8,17.2,0
10005,2023,63.1,30.9,2.4,0
10005,2024,92.4,44.9,11.8,0
10005,2025,95.1,48.2,19.1,1
10006,2022,85.2,23.1,10.0,0
10006,2023,85.5,56.9,4.0,0
10006,2024,66.8,67.3,2.2,0
10006,2025,78.7,66.8,9.3,2
10007,2022,72.1,45.0,17.8,2
10007,2023,78.2,45.4,18.1,1
10007,2024,96.1,38.8,13.9,0
10007,2025,100.0,73.9,19.2,0
10008,2022,60.4,42.4,3.3,1
10008,2023,73.2,60.5,8.7,1
10008,2024,62.1,44.6,16.3,0
10008,2025,88.6,48.6,17.1,1
10009,2022,77.5,13.8,3.6,1
10009,2023,93.3,32.9,12.6,0
10009,2024,79.9,41.3,14.0,2
10009,2025,95.0,52.7,6.0,0
10010,2022,65.3,33.8,2.6,2
10010,2023,85.8,61.9,2.4,0
10010,2024,56.9,47.4,8.5,2
10010,2025,64.8,70.3,4.3,2
10011,2022,71.5,16.4,12.3,2
10011,2023,95.1,44.6,6.5,0
10011,2024,97.5,48.9,8.1,2
10011,2025,86.2,35.8,8.2,2
10012,2022,56.2,22.3,18.8,2
10012,2023,85.2,41.0,17.5,0
10012,2024,63.5,48.1,13.7,0
10012,2025,74.3,73.0,4.8,2
10013,2022,65.1,18.2,3.4,0
10013,2023,95.0,31.2,8.4,0
10013,2024,88.3,34.0,12.3,1
10013,2025,60.9,67.1,15.0,1
10014,2022,90.5,20.8,2.4,0
10014,2023,73.2,60.9,5.5,0
10014,2024,91.2,68.5,9.9,1
10014,2025,94.8,33.6,8.5,0
10015,2022,97.9,20.8,10.2,0
10015,2023,69.2,35.2,7.9,2
10015,2024,96.5,65.4,12.6,0
10015,2025,71.3,34.1,17.6,0
10016,2022,97.8,27.2,3.5,0
10016,2023,72.2,51.1,7.3,0
10016,2024,86.7,58.2,6.8,0
10016,2025,100.0,45.8,11.8,1
10017,2022,59.6,58.2,18.1,1
10017,2023,82.5,33.6,16.8,1
10017,2024,100.0,52.7,18.2,0
10017,2025,100.0,58.8,5.8,0
10018,2022,60.6,50.0,8.2,2
10018,2023,57.2,33.8,7.0,2
10018,2024,75.5,42.5,11.8,0
10018,2025,94.1,48.9,14.1,0
10019,2022,87.9,12.9,9.5,2
10019,2023,81.7,52.6,7.5,0
10019,2024,84.5,60.4,13.4,0
10019,2025,63.3,69.0,11.0,1
10020,2022,71.2,45.7,16.9,1
10020,2023,80.2,45.6,3.0,0
10020,2024,87.8,50.2,15.2,0
10020,2025,61.9,60.2,14.5,0
10021,2022,83.2,10.4,17.6,0
10021,2023,97.7,38.4,17.2,0
10021,2024,92.7,24.0,4.7,0
10021,2025,87.4,52.4,13.5,0
10022,2022,54.7,17.4,12.9,0
10022,2023,90.6,16.5,14.5,0
10022,2024,86.8,58.5,19.7,0
10022,2025,83.8,63.2,4.0,0
10023,2022,88.5,29.3,13.3,0
10023,2023,84.9,19.3,12.7,0
10023,2024,77.5,70.7,2.1,0
10023,2025,68.8,35.5,13.9,2
10024,2022,74.2,34.4,10.9,1
10024,2023,59.9,29.6,15.9,0
10024,2024,57.9,28.6,15.6,0
10024,2025,68.7,53.6,2.8,2
10025,2022,67.6,19.8,16.0,1
10025,2023,83.5,34.0,18.1,0
10025,2024,79.0,52.3,13.4,1
10025,2025,92.8,47.3,17.6,0
10026,2022,85.4,36.0,5.7,1
10026,2023,86.4,27.6,18.2,0
10026,2024,81.3,56.8,18.8,2
10026,2025,89.3,59.7,7.1,1
10027,2022,96.9,44.6,8.2,1
10027,2023,86.4,33.0,14.8,0
10027,2024,90.6,69.0,8.0,0
10027,2025,71.5,59.2,19.8,1
10028,2022,72.9,16.4,7.2,0
10028,2023,73.4,64.8,2.5,2
10028,2024,72.0,50.4,16.7,2
10028,2025,79.6,62.9,2.8,0
10029,2022,78.7,28.6,19.5,0
10029,2023,82.5,38.1,12.8,0
10029,2024,95.3,58.6,9.9,1
10029,2025,89.0,71.3,15.2,0
10030,2022,91.7,58.0,14.9,0
10030,2023,84.0,65.5,9.0,2
10030,2024,71.8,51.8,5.9,0
10030,2025,87.8,32.4,17.2,2
10031,2022,85.0,38.9,18.6,0
10031,2023,85.4,26.2,19.9,0
10031,2024,95.8,54.4,8.5,2
10031,2025,100.0,44.8,12.4,0
10032,2022,66.1,36.1,19.7,1
10032,2023,56.3,49.0,9.4,0
10032,2024,86.5,67.4,16.2,0
10032,2025,62.8,67.6,18.9,0
10033,2022,92.4,11.1,5.3,0
10033,2023,92.0,23.7,15.0,0
10033,2024,89.2,65.4,14.7,1
10033,2025,100.0,65.2,9.0,0
10034,2022,92.6,17.4,19.7,2
10034,2023,96.8,45.4,17.6,2
10034,2024,90.3,51.4,19.9,0
10034,2025,75.2,66.7,11.9,1
10035,2022,52.3,50.7,6.0,0
10035,2023,55.5,49.7,7.0,1
10035,2024,93.1,57.7,16.2,0
10035,2025,66.7,61.3,8.5,0
10036,2022,65.0,17.5,5.9,0
10036,2023,80.6,50.2,18.6,0
10036,2024,61.3,45.6,8.1,2
10036,2025,100.0,76.9,3.5,1
10037,2022,89.2,45.4,12.2,1
10037,2023,80.6,34.7,11.9,1
10037,2024,98.6,67.5,9.6,0
10037,2025,81.2,39.5,10.0,0
10038,2022,93.1,33.4,6.0,0
10038,2023,92.1,19.2,7.3,0
10038,2024,55.7,53.4,10.8,2
10038,2025,95.7,55.9,19.5,0
10039,2022,87.6,35.2,19.6,2
10039,2023,67.7,26.3,3.6,1
10039,2024,78.7,46.7,18.3,0
10039,2025,64.1,51.0,9.9,1
10040,2022,82.0,11.1,10.3,1
10040,2023,84.9,24.1,8.5,2
10040,2024,100.0,67.1,17.8,0
10040,2025,92.2,67.4,10.2,0
10041,2022,71.5,16.0,2.1,0
10041,2023,61.2,64.6,18.8,0
10041,2024,92.8,45.3,19.5,0
10041,2025,74.5,65.5,9.8,1
10042,2022,95.3,37.1,9.9,0
10042,2023,65.8,54.2,2.3,2
10042,2024,64.4,55.1,5.6,0
10042,2025,87.3,31.3,4.2,1
10043,2022,94.0,55.7,16.3,0
10043,2023,59.3,54.4,11.3,0
10043,2024,57.0,33.1,7.2,2
10043,2025,100.0,39.3,18.6,2
10044,2022,56.6,44.3,13.6,1
10044,2023,81.7,51.0,18.9,1
10044,2024,64.6,26.4,6.6,0
10044,2025,65.5,73.3,17.6,0
10045,2022,57.5,47.3,17.4,0
10045,2023,86.6,65.2,18.1,0
10045,2024,91.5,43.6,16.7,0
10045,2025,63.3,32.3,16.5,0
10046,2022,56.6,55.3,17.3,1
10046,2023,97.3,56.6,18.1,0
10046,2024,83.3,22.0,9.6,0
10046,2025,95.0,54.5,5.9,0
10047,2022,53.9,10.4,3.3,0
10047,2023,55.0,33.6,7.0,2
10047,2024,74.0,65.5,17.5,1
10047,2025,84.2,61.7,19.9,0
10048,2022,67.9,52.5,9.6,0
10048,2023,86.7,43.9,10.4,2
10048,2024,87.1,60.7,9.1,2
10048,2025,78.9,52.3,11.9,0
10049,2022,53.8,35.1,10.6,2
10049,2023,81.1,45.9,14.3,0
10049,2024,66.6,29.0,6.9,1
10049,2025,76.0,60.2,9.3,2
10050,2022,50.7,52.8,9.2,0
10050,2023,77.5,24.0,7.7,0
10050,2024,88.6,40.8,16.4,0
10050,2025,85.2,74.0,11.7,0
10051,2022,86.1,25.6,12.1,0
10051,2023,100.0,59.8,6.3,2
10051,2024,85.4,54.1,9.6,0
10051,2025,68.1,70.2,8.2,0
10052,2022,77.5,17.1,18.3,0
10052,2023,64.3,55.4,2.7,0
10052,2024,70.8,23.5,5.2,0
10052,2025,74.4,47.7,13.9,2
10053,2022,75.0,24.0,12.9,0
10053,2023,77.6,48.1,14.9,1
10053,2024,87.0,60.2,2.8,0
10053,2025,78.5,45.3,17.9,0
10054,2022,59.0,51.9,18.8,0
10054,2023,76.1,43.6,16.1,1
10054,2024,93.2,59.6,5.1,0
10054,2025,91.2,64.3,16.2,0
10055,2022,55.5,16.9,7.7,0
10055,2023,98.0,52.6,4.7,0
10055,2024,69.7,63.3,3.5,1
10055,2025,85.6,29.8,2.8,0
10056,2022,51.5,18.1,17.2,0
10056,2023,96.2,42.0,17.2,1
10056,2024,87.8,24.9,2.6,0
10056,2025,70.8,46.3,14.9,2
10057,2022,82.8,52.0,6.6,0
10057,2023,66.5,21.1,6.0,0
10057,2024,67.5,29.0,12.1,0
10057,2025,79.0,34.0,10.2,2
10058,2022,78.8,37.2,5.4,2
10058,2023,62.5,31.2,2.1,0
10058,2024,90.7,62.8,7.8,2
10058,2025,85.2,57.1,9.3,2
10059,2022,50.4,43.5,10.6,2
10059,2023,78.9,31.4,9.3,0
10059,2024,75.2,46.6,8.8,0
10059,2025,89.6,46.5,19.3,2
10060,2022,93.1,34.9,18.6,0
10060,2023,65.1,50.4,9.0,2
10060,2024,87.3,44.5,18.9,0
10060,2025,64.8,31.3,3.6,0
10061,2022,54.1,28.5,2.2,2
10061,2023,97.2,60.4,8.0,2
10061,2024,96.4,63.2,5.3,0
10061,2025,81.6,69.6,14.7,0
10062,2022,56.6,19.1,13.3,0
10062,2023,65.1,20.0,19.5,0
10062,2024,82.2,62.7,15.6,1
10062,2025,88.8,61.3,9.1,0
10063,2022,83.1,35.4,6.8,0
10063,2023,88.4,50.4,3.0,0
10063,2024,65.1,68.5,6.8,2
10063,2025,71.7,34.5,5.3,0
10064,2022,50.6,18.5,17.1,0
10064,2023,56.1,45.5,7.9,0
10064,2024,69.9,57.3,14.3,0
10064,2025,66.4,60.2,13.7,0
10065,2022,73.6,22.7,3.1,0
10065,2023,93.2,47.1,2.4,1
10065,2024,89.7,50.0,10.0,0
10065,2025,93.7,29.2,18.7,0
10066,2022,78.8,41.1,13.5,0
10066,2023,86.1,38.6,17.4,2
10066,2024,63.6,64.7,2.8,2
10066,2025,84.0,60.8,8.8,0
10067,2022,77.4,37.3,3.1,0
10067,2023,82.7,60.8,8.1,0
10067,2024,92.4,55.2,7.1,0
10067,2025,100.0,40.5,18.6,2
10068,2022,84.2,33.4,16.7,2
10068,2023,96.8,49.6,16.5,0
10068,2024,81.4,63.0,2.4,0
10068,2025,71.4,42.2,11.1,0
10069,2022,81.6,46.3,3.7,0
10069,2023,99.6,50.1,17.6,2
10069,2024,89.1,29.4,10.1,1
10069,2025,100.0,35.6,3.7,1
10070,2022,51.1,35.1,19.7,0
10070,2023,64.9,36.6,7.2,0
10070,2024,68.1,28.7,5.6,2
10070,2025,78.0,32.4,12.2,2
10071,2022,51.5,54.9,10.7,2
10071,2023,96.4,25.6,6.9,0
10071,2024,88.9,40.4,15.3,1
10071,2025,61.5,51.3,7.2,1
10072,2022,58.4,14.2,8.2,0
10072,2023,81.4,22.9,14.6,0
10072,2024,98.6,48.3,12.3,0
10072,2025,61.7,63.0,7.2,1
10073,2022,70.8,52.2,18.6,1
10073,2023,62.1,59.1,14.9,2
10073,2024,63.7,49.3,7.4,0
10073,2025,92.5,42.3,17.5,2
10074,2022,89.7,39.0,7.6,0
10074,2023,96.7,47.1,19.6,0
10074,2024,87.8,36.3,18.3,2
10074,2025,60.7,61.4,9.2,0
10075,2022,67.1,18.7,13.9,0
10075,2023,73.7,30.8,11.6,0
10075,2024,68.2,68.5,16.7,0
10075,2025,83.4,53.5,17.5,0
10076,2022,61.2,17.5,13.3,2
10076,2023,95.7,49.4,12.0,0
10076,2024,61.9,33.5,8.1,0
10076,2025,78.0,29.7,18.2,1
10077,2022,56.0,53.6,12.9,0
10077,2023,69.7,37.7,3.2,2
10077,2024,78.3,60.9,14.0,0
10077,2025,84.1,70.7,5.8,0
10078,2022,65.9,38.7,4.5,2
10078,2023,91.4,20.8,19.7,0
10078,2024,79.7,38.0,18.1,0
10078,2025,100.0,40.6,15.1,0
10079,2022,55.9,40.2,12.6,1
10079,2023,61.3,36.5,8.9,0
10079,2024,93.5,42.6,7.7,0
10079,2025,84.1,60.7,8.1,2
10080,2022,67.3,11.6,10.1,0
10080,2023,72.2,22.6,8.2,0
10080,2024,82.1,66.4,6.0,0
10080,2025,61.6,69.8,18.4,0
10081,2022,86.7,57.1,15.7,1
10081,2023,74.1,26.5,13.5,0
10081,2024,74.8,39.1,10.0,0
10081,2025,94.6,33.6,16.5,0
10082,2022,77.3,42.0,4.9,0
10082,2023,88.7,55.1,4.5,0
10082,2024,99.6,52.9,19.2,1
10082,2025,100.0,57.8,19.0,0
10083,2022,70.6,50.1,14.0,2
10083,2023,55.8,20.4,10.4,0
10083,2024,55.6,59.1,18.0,0
10083,2025,91.4,72.6,15.3,0
10084,2022,53.9,42.3,15.8,2
10084,2023,71.2,50.2,13.7,0
10084,2024,86.8,54.2,18.6,1
10084,2025,100.0,69.2,7.6,0
10085,2022,60.7,29.8,6.8,0
10085,2023,53.0,58.9,12.6,1
10085,2024,57.0,35.5,8.3,0
10085,2025,68.2,33.8,3.0,2
10086,2022,97.7,13.1,19.3,0
10086,2023,56.2,20.9,18.3,1
10086,2024,91.0,44.8,2.2,2
10086,2025,64.7,57.8,17.6,0
10087,2022,59.8,41.8,11.3,0
10087,2023,56.6,44.2,11.1,0
10087,2024,65.9,32.3,5.0,0
10087,2025,63.0,71.3,5.5,0
10088,2022,50.8,20.5,7.1,1
10088,2023,90.8,57.3,12.0,0
10088,2024,64.1,57.7,10.7,0
10088,2025,63.2,45.8,7.0,0
10089,2022,63.1,31.1,16.5,2
10089,2023,88.7,56.7,8.3,2
10089,2024,65.8,71.3,5.5,0
10089,2025,83.5,40.2,9.4,0
10090,2022,60.4,44.4,14.7,0
10090,2023,71.1,19.7,7.8,0
10090,2024,80.0,26.0,7.7,0
10090,2025,93.9,50.5,4.1,0
10091,2022,63.5,10.9,3.8,0
10091,2023,73.9,61.5,7.3,0
10091,2024,85.9,41.3,15.0,0
10091,2025,70.7,47.1,11.7,0
10092,2022,60.6,26.3,16.8,0
10092,2023,79.8,30.9,14.9,2
10092,2024,100.0,26.7,13.5,2
10092,2025,100.0,58.4,4.6,2
10093,2022,78.8,22.7,18.5,2
10093,2023,72.8,33.4,2.5,2
10093,2024,82.2,38.8,19.2,0
10093,2025,96.0,45.0,16.5,0
10094,2022,54.5,54.0,6.5,0
10094,2023,90.0,39.5,19.7,0
10094,2024,86.6,47.5,10.1,0
10094,2025,70.4,67.2,16.5,1
10095,2022,92.0,25.4,18.8,2
10095,2023,56.3,54.0,11.0,1
10095,2024,99.1,31.0,13.2,1
10095,2025,76.1,63.4,13.8,0
10096,2022,88.9,17.2,12.5,1
10096,2023,59.9,50.4,5.3,0
10096,2024,82.2,45.4,7.3,1
10096,2025,59.1,31.3,3.9,2
10097,2022,63.4,40.0,9.8,0
10097,2023,92.3,50.6,5.3,0
10097,2024,76.8,32.1,5.2,0
10097,2025,89.2,74.8,4.1,0
