Village_ID,Village_Name,District,State,Year,MGNREGA_Workers,Skill_Dev_Participants,Avg_Daily_Wage_INR,Unemployment_Rate_Pct,Irrigated_Area_Hectares,Crop_Yield_MT_per_Hec,Fertilizer_Usage_Tons,Tractor_Availability,Primary_Schools,School_Dropout_Rate_Pct,Primary_Health_Centres,Clean_Water_Access_Pct,Electrification_Pct,Internet_Penetration_Pct,Paved_Roads_KM,Bank_Branches
10001,Varanasi_Village_1,Varanasi,Uttar Pradesh,2022,152,30,216,6.1,538,4.36,31,12,1,24.7,0,37.5,76.5,46.3,5.8,0
10001,Varanasi_Village_1,Varanasi,Uttar Pradesh,2023,229,37,354,13.7,400,3.31,36,10,1,3.5,0,69.3,63.0,37.9,11.4,1
10001,Varanasi_Village_1,Varanasi,Uttar Pradesh,2024,142,17,251,11.8,359,4.12,72,4,2,19.7,1,86.6,100.0,39.4,18.9,1
10001,Varanasi_Village_1,Varanasi,Uttar Pradesh,2025,64,29,334,3.4,291,3.93,36,9,2,12.8,0,51.5,92.7,41.8,4.5,2
10002,Varanasi_Village_2,Varanasi,Uttar Pradesh,2022,156,8,277,12.2,370,2.36,30,3,2,5.0,0,55.7,55.8,59.4,16.0,1
10002,Varanasi_Village_2,Varanasi,Uttar Pradesh,2023,121,23,354,11.8,715,3.41,62,8,1,12.8,0,62.9,65.4,27.5,18.5,0
10002,Varanasi_Village_2,Varanasi,Uttar Pradesh,2024,238,22,343,8.9,531,4.47,44,2,0,17.3,0,85.9,100.0,29.3,8.7,0
10002,Varanasi_Village_2,Varanasi,Uttar Pradesh,2025,70,34,312,3.8,795,3.44,56,5,2,4.2,0,85.3,67.1,51.5,10.0,2
10003,Varanasi_Village_3,Varanasi,Uttar Pradesh,2022,152,23,309,10.6,316,3.27,59,13,0,18.6,0,76.2,55.6,35.9,17.0,1
10003,Varanasi_Village_3,Varanasi,Uttar Pradesh,2023,171,27,339,12.1,190,3.24,19,13,1,6.3,0,73.7,63.7,24.9,12.2,0
10003,Varanasi_Village_3,Varanasi,Uttar Pradesh,2024,260,20,370,6.5,297,2.65,37,6,3,18.1,1,73.1,89.3,39.5,10.6,1
